date,commodity,mandi,district,min_price,max_price,modal_price,arrivals_tonnes,variety,grade,source,fetched_at
2024-08-01,Tomato,Niphad,Nashik,1229,1629,1429,51.78,Demo composite,Demo,demo_generated,
2024-08-02,Tomato,Niphad,Nashik,1212,1634,1423,48.16,Demo composite,Demo,demo_generated,
2024-08-03,Tomato,Niphad,Nashik,1309,1565,1437,55.41,Demo composite,Demo,demo_generated,
2024-08-04,Tomato,Niphad,Nashik,1195,1600,1398,51.06,Demo composite,Demo,demo_generated,
2024-08-05,Tomato,Niphad,Nashik,1188,1485,1337,69.75,Demo composite,Demo,demo_generated,
2024-08-06,Tomato,Niphad,Nashik,1259,1491,1375,52.99,Demo composite,Demo,demo_generated,
2024-08-07,Tomato,Niphad,Nashik,1269,1659,1464,53.8,Demo composite,Demo,demo_generated,
2024-08-08,Tomato,Niphad,Nashik,1201,1601,1401,57.35,Demo composite,Demo,demo_generated,
2024-08-09,Tomato,Niphad,Nashik,1300,1630,1465,49.21,Demo composite,Demo,demo_generated,
2024-08-10,Tomato,Niphad,Nashik,1189,1538,1364,48.79,Demo composite,Demo,demo_generated,
2024-08-11,Tomato,Niphad,Nashik,1316,1618,1467,57.32,Demo composite,Demo,demo_generated,
2024-08-12,Tomato,Niphad,Nashik,1201,1448,1324,65.12,Demo composite,Demo,demo_generated,
2024-08-13,Tomato,Niphad,Nashik,1251,1517,1384,52.16,Demo composite,Demo,demo_generated,
2024-08-14,Tomato,Niphad,Nashik,1262,1666,1464,51.76,Demo composite,Demo,demo_generated,
2024-08-15,Tomato,Niphad,Nashik,1267,1673,1470,50.45,Demo composite,Demo,demo_generated,
2024-08-16,Tomato,Niphad,Nashik,1338,1636,1487,51.24,Demo composite,Demo,demo_generated,
2024-08-17,Tomato,Niphad,Nashik,1332,1608,1470,48.64,Demo composite,Demo,demo_generated,
2024-08-18,Tomato,Niphad,Nashik,1199,1547,1373,55.42,Demo composite,Demo,demo_generated,
2024-08-19,Tomato,Niphad,Nashik,1224,1533,1378,69.2,Demo composite,Demo,demo_generated,
2024-08-20,Tomato,Niphad,Nashik,1326,1582,1454,48.64,Demo composite,Demo,demo_generated,
2024-08-21,Tomato,Niphad,Nashik,1292,1643,1468,52.11,Demo composite,Demo,demo_generated,
2024-08-22,Tomato,Niphad,Nashik,1305,1657,1481,53.83,Demo composite,Demo,demo_generated,
2024-08-23,Tomato,Niphad,Nashik,1331,1569,1450,50.36,Demo composite,Demo,demo_generated,
2024-08-24,Tomato,Niphad,Nashik,1466,1824,1645,49.42,Demo composite,Demo,demo_generated,
2024-08-25,Tomato,Niphad,Nashik,1577,1867,1722,49.63,Demo composite,Demo,demo_generated,
2024-08-26,Tomato,Niphad,Nashik,1335,1721,1528,62.82,Demo composite,Demo,demo_generated,
2024-08-27,Tomato,Niphad,Nashik,1474,1901,1687,55.39,Demo composite,Demo,demo_generated,
2024-08-28,Tomato,Niphad,Nashik,1516,1822,1669,55.71,Demo composite,Demo,demo_generated,
2024-08-29,Tomato,Niphad,Nashik,1400,1820,1610,48.12,Demo composite,Demo,demo_generated,
2024-08-30,Tomato,Niphad,Nashik,1496,1885,1690,48.87,Demo composite,Demo,demo_generated,
2024-08-31,Tomato,Niphad,Nashik,1460,1826,1643,54.47,Demo composite,Demo,demo_generated,
2024-09-01,Tomato,Niphad,Nashik,1031,1323,1177,74.94,Demo composite,Demo,demo_generated,
2024-09-02,Tomato,Niphad,Nashik,1005,1199,1102,89.51,Demo composite,Demo,demo_generated,
2024-09-03,Tomato,Niphad,Nashik,1092,1416,1254,84.42,Demo composite,Demo,demo_generated,
2024-09-04,Tomato,Niphad,Nashik,1016,1332,1174,85.36,Demo composite,Demo,demo_generated,
2024-09-05,Tomato,Niphad,Nashik,1110,1354,1232,77.25,Demo composite,Demo,demo_generated,
2024-09-06,Tomato,Niphad,Nashik,1030,1290,1160,84.33,Demo composite,Demo,demo_generated,
2024-09-07,Tomato,Niphad,Nashik,1034,1318,1176,75.01,Demo composite,Demo,demo_generated,
2024-09-08,Tomato,Niphad,Nashik,811,1060,936,83.61,Demo composite,Demo,demo_generated,
2024-09-09,Tomato,Niphad,Nashik,807,1035,921,96.23,Demo composite,Demo,demo_generated,
2024-09-10,Tomato,Niphad,Nashik,886,1053,970,80.38,Demo composite,Demo,demo_generated,
2024-09-11,Tomato,Niphad,Nashik,842,1060,951,70.89,Demo composite,Demo,demo_generated,
2024-09-12,Tomato,Niphad,Nashik,858,1022,940,72.49,Demo composite,Demo,demo_generated,
2024-09-13,Tomato,Niphad,Nashik,824,1102,963,72.9,Demo composite,Demo,demo_generated,
2024-09-14,Tomato,Niphad,Nashik,844,1077,960,75.65,Demo composite,Demo,demo_generated,
2024-09-15,Tomato,Niphad,Nashik,802,1008,905,85.2,Demo composite,Demo,demo_generated,
2024-09-16,Tomato,Niphad,Nashik,809,1017,913,89.41,Demo composite,Demo,demo_generated,
2024-09-17,Tomato,Niphad,Nashik,834,1061,947,84.88,Demo composite,Demo,demo_generated,
2024-09-18,Tomato,Niphad,Nashik,847,1042,945,74.4,Demo composite,Demo,demo_generated,
2024-09-19,Tomato,Niphad,Nashik,1002,1179,1090,77.09,Demo composite,Demo,demo_generated,
2024-09-20,Tomato,Niphad,Nashik,1029,1232,1130,84.23,Demo composite,Demo,demo_generated,
2024-09-21,Tomato,Niphad,Nashik,966,1248,1107,71.93,Demo composite,Demo,demo_generated,
2024-09-22,Tomato,Niphad,Nashik,942,1225,1084,80.53,Demo composite,Demo,demo_generated,
2024-09-23,Tomato,Niphad,Nashik,916,1225,1071,89.9,Demo composite,Demo,demo_generated,
2024-09-24,Tomato,Niphad,Nashik,962,1222,1092,70.82,Demo composite,Demo,demo_generated,
2024-09-25,Tomato,Niphad,Nashik,963,1268,1116,83.19,Demo composite,Demo,demo_generated,
2024-09-26,Tomato,Niphad,Nashik,1006,1230,1118,85.11,Demo composite,Demo,demo_generated,
2024-09-27,Tomato,Niphad,Nashik,982,1316,1149,74.23,Demo composite,Demo,demo_generated,
2024-09-28,Tomato,Niphad,Nashik,994,1241,1117,70.94,Demo composite,Demo,demo_generated,
2024-09-29,Tomato,Niphad,Nashik,1061,1384,1223,84.16,Demo composite,Demo,demo_generated,
2024-09-30,Tomato,Niphad,Nashik,1009,1274,1141,105.23,Demo composite,Demo,demo_generated,
2024-10-01,Tomato,Niphad,Nashik,1080,1392,1236,82.29,Demo composite,Demo,demo_generated,
2024-10-02,Tomato,Niphad,Nashik,1088,1420,1254,71.71,Demo composite,Demo,demo_generated,
2024-10-03,Tomato,Niphad,Nashik,1129,1371,1250,84.86,Demo composite,Demo,demo_generated,
2024-10-04,Tomato,Niphad,Nashik,899,1079,989,83.21,Demo composite,Demo,demo_generated,
2024-10-05,Tomato,Niphad,Nashik,857,1139,998,79.59,Demo composite,Demo,demo_generated,
2024-10-06,Tomato,Niphad,Nashik,868,1138,1003,75.08,Demo composite,Demo,demo_generated,
2024-10-07,Tomato,Niphad,Nashik,924,1107,1016,97.57,Demo composite,Demo,demo_generated,
2024-10-08,Tomato,Niphad,Nashik,902,1079,991,73.82,Demo composite,Demo,demo_generated,
2024-10-09,Tomato,Niphad,Nashik,940,1186,1063,72.14,Demo composite,Demo,demo_generated,
2024-10-10,Tomato,Niphad,Nashik,968,1169,1069,79.31,Demo composite,Demo,demo_generated,
