date,district,precipitation_mm,temp_max_c,temp_min_c,wind_speed_kmh
2024-08-01,Nashik,1.77,29.31,16.01,16.13
2024-08-02,Nashik,11.72,29.8,18.26,10.42
2024-08-03,Nashik,12.27,33.9,24.22,8.77
2024-08-04,Nashik,8.2,33.56,24.25,8.26
2024-08-05,Nashik,11.13,31.05,18.2,10.64
2024-08-06,Nashik,13.25,33.3,24.75,14.98
2024-08-07,Nashik,0.79,27.9,16.79,12.56
2024-08-08,Nashik,18.74,31.42,21.15,10.36
2024-08-09,Nashik,19.83,31.54,18.0,11.32
2024-08-10,Nashik,18.69,31.99,19.17,10.23
2024-08-11,Nashik,10.21,32.04,20.23,9.04
2024-08-12,Nashik,6.0,29.45,15.55,16.45
2024-08-13,Nashik,1.59,31.6,19.47,10.17
2024-08-14,Nashik,26.09,31.65,17.73,16.3
2024-08-15,Nashik,8.58,28.87,20.72,15.63
2024-08-16,Nashik,25.09,30.31,19.83,15.69
2024-08-17,Nashik,9.68,31.69,18.87,13.78
2024-08-18,Nashik,1.0,28.84,16.31,14.73
2024-08-19,Nashik,0.93,28.85,16.04,9.17
2024-08-20,Nashik,13.61,28.36,15.0,18.01
2024-08-21,Nashik,14.44,30.56,21.24,15.33
2024-08-22,Nashik,13.29,26.46,15.0,10.3
2024-08-23,Nashik,12.7,29.5,18.75,15.19
2024-08-24,Nashik,1.89,25.13,17.77,21.23
2024-08-25,Nashik,8.49,27.76,18.54,15.93
2024-08-26,Nashik,22.47,28.42,17.91,9.4
2024-08-27,Nashik,1.83,27.5,18.18,10.47
2024-08-28,Nashik,1.58,27.94,18.28,13.09
2024-08-29,Nashik,11.44,31.73,18.92,14.12
2024-08-30,Nashik,11.97,30.0,19.32,8.71
2024-08-31,Nashik,14.19,30.22,18.74,8.22
2024-09-01,Nashik,19.81,30.47,16.82,6.09
2024-09-02,Nashik,1.83,27.78,15.0,15.21
2024-09-03,Nashik,21.91,29.49,22.22,8.84
2024-09-04,Nashik,26.57,27.22,15.0,11.08
2024-09-05,Nashik,26.1,27.14,16.6,8.97
2024-09-06,Nashik,19.97,27.41,16.45,17.49
2024-09-07,Nashik,0.06,28.0,20.87,13.87
2024-09-08,Nashik,0.08,28.19,19.83,18.28
2024-09-09,Nashik,22.75,31.6,19.45,8.24
2024-09-10,Nashik,19.27,26.73,19.56,10.79
2024-09-11,Nashik,13.79,26.23,15.0,12.67
2024-09-12,Nashik,14.88,26.66,16.8,11.22
2024-09-13,Nashik,6.07,27.53,18.38,15.3
2024-09-14,Nashik,20.61,26.35,15.06,7.51
2024-09-15,Nashik,1.0,28.26,17.75,18.0
2024-09-16,Nashik,7.81,30.91,20.78,10.28
2024-09-17,Nashik,15.37,26.52,18.35,16.31
2024-09-18,Nashik,1.87,27.17,18.39,13.46
2024-09-19,Nashik,15.28,28.62,16.24,16.06
2024-09-20,Nashik,15.23,28.91,17.36,11.21
2024-09-21,Nashik,10.06,26.18,15.08,6.87
2024-09-22,Nashik,1.67,23.71,15.0,12.89
2024-09-23,Nashik,22.56,23.22,15.0,13.49
2024-09-24,Nashik,20.32,24.72,15.43,16.37
2024-09-25,Nashik,0.5,25.15,16.81,11.28
2024-09-26,Nashik,15.1,23.46,15.0,12.44
2024-09-27,Nashik,0.32,26.85,17.8,14.37
2024-09-28,Nashik,20.08,27.49,19.31,16.87
2024-09-29,Nashik,26.45,25.04,17.37,12.14
2024-09-30,Nashik,10.53,25.67,15.0,6.0
2024-10-01,Nashik,0.57,21.79,15.0,10.65
2024-10-02,Nashik,0.0,24.52,15.0,7.74
2024-10-03,Nashik,0.23,24.19,15.0,10.69
2024-10-04,Nashik,0.0,26.74,15.08,9.25
2024-10-05,Nashik,0.73,25.57,15.0,8.59
2024-10-06,Nashik,0.0,22.32,15.0,10.82
2024-10-07,Nashik,1.4,23.64,15.0,10.47
2024-10-08,Nashik,0.0,25.56,15.78,11.67
2024-10-09,Nashik,0.0,23.37,15.0,12.17
2024-10-10,Nashik,0.0,22.17,15.0,9.63
2024-10-11,Nashik,0.0,22.74,15.0,7.29
2024-10-12,Nashik,0.0,23.16,15.0,9.63
2024-10-13,Nashik,0.0,24.59,15.43,14.51
2024-10-14,Nashik,0.0,21.0,15.0,4.85
2024-10-15,Nashik,0.0,23.88,15.0,10.23
2024-10-16,Nashik,0.0,24.36,15.0,7.2
2024-10-17,Nashik,0.0,23.01,15.0,10.62
2024-10-18,Nashik,0.91,26.45,15.0,8.23
2024-10-19,Nashik,0.0,24.92,17.56,8.82
2024-10-20,Nashik,0.0,21.87,15.0,8.68
2024-10-21,Nashik,0.0,22.91,15.23,8.88
2024-10-22,Nashik,0.0,25.14,15.0,6.52
2024-10-23,Nashik,0.0,22.16,15.0,7.53
2024-10-24,Nashik,0.48,22.18,15.0,9.53
2024-10-25,Nashik,0.0,21.86,15.0,10.58
2024-10-26,Nashik,0.86,22.26,15.0,12.18
2024-10-27,Nashik,0.0,21.0,15.0,13.4
2024-10-28,Nashik,0.0,25.23,15.0,3.98
2024-10-29,Nashik,1.03,21.1,15.0,7.66
2024-10-30,Nashik,1.1,22.22,15.0,6.25
2024-10-31,Nashik,0.0,24.23,15.0,11.32
2024-11-01,Nashik,0.0,21.0,15.0,11.16
2024-11-02,Nashik,0.0,21.0,15.0,14.88
2024-11-03,Nashik,1.03,21.0,15.0,8.1
2024-11-04,Nashik,0.0,23.11,15.01,10.37
2024-11-05,Nashik,0.0,21.0,15.0,7.71
2024-11-06,Nashik,0.0,22.82,15.0,5.42
2024-11-07,Nashik,0.0,23.14,15.33,13.4
2024-11-08,Nashik,0.75,25.03,16.87,5.73
2024-11-09,Nashik,1.72,24.69,15.0,11.25
2024-11-10,Nashik,0.0,23.29,15.0,11.3
2024-11-11,Nashik,0.0,21.68,15.0,5.1
2024-11-12,Nashik,0.0,21.0,15.0,5.86
2024-11-13,Nashik,0.0,26.02,18.56,10.21
2024-11-14,Nashik,0.0,23.76,15.0,14.62
2024-11-15,Nashik,0.0,24.03,15.0,5.84
2024-11-16,Nashik,0.24,24.29,15.0,10.35
2024-11-17,Nashik,0.0,23.17,16.16,7.63
2024-11-18,Nashik,0.0,26.65,15.0,16.01
2024-11-19,Nashik,0.46,21.0,15.0,3.91
2024-11-20,Nashik,0.0,21.55,15.0,10.54
2024-11-21,Nashik,0.0,23.24,15.0,4.19
2024-11-22,Nashik,0.0,25.39,17.7,4.27
2024-11-23,Nashik,0.0,21.4,15.0,10.26
2024-11-24,Nashik,0.0,23.27,15.0,10.78
2024-11-25,Nashik,0.0,21.66,15.0,5.99
2024-11-26,Nashik,0.26,22.39,15.0,5.08
2024-11-27,Nashik,1.53,24.28,15.0,8.94
2024-11-28,Nashik,0.0,23.4,15.0,10.06
2024-11-29,Nashik,0.0,21.31,15.0,12.35
2024-11-30,Nashik,0.0,25.4,17.68,11.37
2024-12-01,Nashik,1.41,23.26,15.0,9.84
2024-12-02,Nashik,0.0,21.0,15.0,2.0
2024-12-03,Nashik,0.0,21.17,15.0,5.14
2024-12-04,Nashik,0.0,23.09,15.0,9.67
2024-12-05,Nashik,0.0,21.25,15.0,6.63
2024-12-06,Nashik,0.0,23.48,15.0,6.57
2024-12-07,Nashik,1.95,22.77,15.0,2.6
2024-12-08,Nashik,0.0,23.04,15.0,2.0
2024-12-09,Nashik,0.0,26.26,19.06,10.57
2024-12-10,Nashik,0.0,23.07,15.0,6.42
2024-12-11,Nashik,1.95,25.77,15.0,13.36
2024-12-12,Nashik,1.18,21.72,15.0,9.81
2024-12-13,Nashik,0.0,22.27,15.0,2.77
2024-12-14,Nashik,0.0,23.49,15.0,11.35
2024-12-15,Nashik,0.0,21.18,15.0,2.0
2024-12-16,Nashik,1.55,21.0,15.0,6.24
2024-12-17,Nashik,0.0,22.78,15.0,10.06
2024-12-18,Nashik,0.0,24.35,15.0,11.48
2024-12-19,Nashik,0.0,22.79,15.0,10.6
2024-12-20,Nashik,0.0,24.73,15.0,6.03
2024-12-21,Nashik,0.0,22.32,15.0,5.06
2024-12-22,Nashik,0.35,23.68,15.0,6.51
2024-12-23,Nashik,0.0,23.55,15.0,6.04
2024-12-24,Nashik,0.0,28.27,17.53,8.05
2024-12-25,Nashik,1.86,24.94,15.0,10.01
2024-12-26,Nashik,0.0,23.4,16.38,8.68
2024-12-27,Nashik,0.0,27.15,15.0,12.02
2024-12-28,Nashik,0.0,22.9,15.0,6.66
2024-12-29,Nashik,0.0,22.64,15.0,8.91
2024-12-30,Nashik,1.67,23.92,15.56,8.01
2024-12-31,Nashik,0.0,24.75,16.87,6.86
2025-01-01,Nashik,0.0,25.95,15.0,5.41
2025-01-02,Nashik,0.0,26.21,16.46,7.48
2025-01-03,Nashik,0.0,21.98,15.0,8.94
2025-01-04,Nashik,0.2,23.9,16.39,6.31
2025-01-05,Nashik,0.91,22.86,15.0,11.26
2025-01-06,Nashik,0.0,26.23,15.24,8.24
2025-01-07,Nashik,0.0,26.3,15.0,12.11
2025-01-08,Nashik,0.03,26.99,17.51,9.49
2025-01-09,Nashik,0.0,25.7,15.0,6.46
2025-01-10,Nashik,0.0,25.3,15.36,2.0
2025-01-11,Nashik,0.0,21.89,15.0,8.71
2025-01-12,Nashik,0.0,25.74,15.27,9.25
2025-01-13,Nashik,0.0,22.22,15.0,9.24
2025-01-14,Nashik,0.0,27.25,15.0,9.47
2025-01-15,Nashik,0.0,27.22,18.02,7.19
2025-01-16,Nashik,0.0,25.04,15.0,5.59
2025-01-17,Nashik,0.58,25.61,17.63,9.09
2025-01-18,Nashik,0.0,26.93,16.09,7.03
2025-01-19,Nashik,0.0,29.51,21.09,13.17
2025-01-20,Nashik,0.0,25.25,16.89,10.61
2025-01-21,Nashik,0.0,23.92,15.0,7.51
2025-01-22,Nashik,0.0,28.21,16.05,7.43
2025-01-23,Nashik,0.0,27.71,15.96,6.61
2025-01-24,Nashik,0.0,27.81,17.64,8.49
2025-01-25,Nashik,0.0,29.07,19.05,6.66
2025-01-26,Nashik,0.0,26.58,18.63,16.08
2025-01-27,Nashik,0.0,28.79,20.01,9.6
2025-01-28,Nashik,0.0,27.15,15.34,11.33
2025-01-29,Nashik,0.0,25.76,15.0,3.66
2025-01-30,Nashik,0.0,26.21,15.0,7.44
2025-01-31,Nashik,0.0,27.8,18.74,8.02
2025-02-01,Nashik,0.0,30.55,22.58,10.95
2025-02-02,Nashik,0.0,27.35,15.45,6.81
2025-02-03,Nashik,0.66,27.43,19.29,5.1
2025-02-04,Nashik,0.0,26.77,18.84,8.97
2025-02-05,Nashik,0.0,31.25,21.09,10.85
2025-02-06,Nashik,0.9,27.79,18.31,8.95
2025-02-07,Nashik,0.0,28.72,21.46,4.5
2025-02-08,Nashik,0.14,30.14,17.29,7.16
2025-02-09,Nashik,0.0,28.2,19.99,5.4
2025-02-10,Nashik,0.0,27.05,15.0,9.62
2025-02-11,Nashik,0.0,28.87,19.63,2.0
2025-02-12,Nashik,0.0,26.25,17.45,6.51
2025-02-13,Nashik,0.0,32.18,23.04,8.28
2025-02-14,Nashik,0.27,30.33,22.91,6.93
2025-02-15,Nashik,1.98,31.25,24.03,10.08
2025-02-16,Nashik,1.7,30.3,18.92,5.02
2025-02-17,Nashik,0.0,25.67,15.0,9.75
2025-02-18,Nashik,0.0,30.47,23.15,8.39
2025-02-19,Nashik,0.0,27.98,15.0,8.84
2025-02-20,Nashik,0.0,31.72,19.48,9.35
2025-02-21,Nashik,0.0,28.96,21.93,11.23
2025-02-22,Nashik,0.0,31.2,21.88,8.35
2025-02-23,Nashik,1.83,30.69,17.33,10.36
2025-02-24,Nashik,1.64,29.69,22.63,8.47
2025-02-25,Nashik,0.25,32.65,25.01,2.33
2025-02-26,Nashik,1.67,30.61,20.36,8.45
2025-02-27,Nashik,0.0,33.3,23.5,8.93
2025-02-28,Nashik,0.3,34.14,26.76,8.3
2025-03-01,Nashik,0.0,30.19,18.37,11.62
2025-03-02,Nashik,0.0,32.16,23.02,12.41
2025-03-03,Nashik,1.12,32.66,22.37,9.22
2025-03-04,Nashik,0.0,34.78,25.88,12.52
2025-03-05,Nashik,1.78,32.68,24.95,6.82
2025-03-06,Nashik,0.0,31.89,23.01,6.42
2025-03-07,Nashik,0.0,31.6,17.97,7.33
2025-03-08,Nashik,0.0,33.52,26.16,12.02
2025-03-09,Nashik,0.0,32.88,25.09,5.42
2025-03-10,Nashik,0.0,33.1,24.73,12.07
2025-03-11,Nashik,0.0,32.12,22.66,14.15
2025-03-12,Nashik,0.0,32.97,23.08,7.38
2025-03-13,Nashik,0.0,29.48,19.77,5.88
2025-03-14,Nashik,0.0,32.44,19.66,11.32
2025-03-15,Nashik,0.0,34.83,24.92,7.96
2025-03-16,Nashik,0.0,34.33,22.87,9.32
2025-03-17,Nashik,1.71,33.12,22.9,7.18
2025-03-18,Nashik,0.0,38.5,30.0,6.61
2025-03-19,Nashik,0.11,35.2,24.11,8.66
2025-03-20,Nashik,0.0,31.13,21.66,8.13
2025-03-21,Nashik,0.0,34.83,24.61,6.61
2025-03-22,Nashik,0.0,35.67,26.78,7.29
2025-03-23,Nashik,0.0,33.43,22.89,5.02
2025-03-24,Nashik,0.0,33.51,25.27,6.15
2025-03-25,Nashik,0.0,33.61,23.51,6.89
2025-03-26,Nashik,1.15,32.16,19.21,10.35
2025-03-27,Nashik,0.0,37.63,26.36,14.1
2025-03-28,Nashik,0.0,35.45,28.3,8.88
2025-03-29,Nashik,0.37,35.34,25.48,6.77
2025-03-30,Nashik,0.0,35.44,23.49,5.08
2025-03-31,Nashik,0.0,33.21,22.9,14.6
2025-04-01,Nashik,0.0,33.58,26.02,11.37
2025-04-02,Nashik,0.0,33.2,22.51,10.01
2025-04-03,Nashik,0.0,34.8,27.0,11.64
2025-04-04,Nashik,0.0,40.56,30.0,8.66
2025-04-05,Nashik,0.0,35.01,22.75,8.48
2025-04-06,Nashik,0.31,34.36,21.54,7.23
